"","word","rt","acc","wordLength","realpseudo","subj"
"1","te",3.122015,1,2,"pseudo",2
"2","te",3.122015,1,2,"pseudo",188
"3","cok",0.890805,1,3,"pseudo",2
"4","cok",0.890805,1,3,"pseudo",188
"5","de",1.15196,1,2,"pseudo",2
"6","de",1.15196,1,2,"pseudo",188
"7","fatter",1.032945,1,6,"real",2
"8","fatter",1.032945,1,6,"real",188
"9","acquisitiveness",1.04425,0,15,"real",2
"10","acquisitiveness",1.04425,0,15,"real",188
"11","bawed",6.27528,1,5,"pseudo",2
"12","bawed",6.27528,1,5,"pseudo",188
"13","arsher",1.886055,0,6,"pseudo",2
"14","arsher",1.886055,0,6,"pseudo",188
"15","swane",2.21831,1,5,"pseudo",2
"16","swane",2.21831,1,5,"pseudo",188
"17","impoverish",1.768685,1,10,"real",2
"18","impoverish",1.768685,1,10,"real",188
"19","testify",1.432615,1,7,"real",2
"20","testify",1.432615,1,7,"real",188
"21","sun",0.805545,1,3,"real",2
"22","sun",0.805545,1,3,"real",188
"23","library",0.795735,1,7,"real",2
"24","library",0.795735,1,7,"real",188
"25","imeyits",1.89169,0,7,"pseudo",2
"26","imeyits",1.89169,0,7,"pseudo",188
"27","going",0.927995,1,5,"real",2
"28","going",0.927995,1,5,"real",188
"29","see",0.62607,1,3,"real",2
"30","see",0.62607,1,3,"real",188
"31","runey",0.883805,0,5,"pseudo",2
"32","runey",0.883805,0,5,"pseudo",188
"33","mun",0.932645,1,3,"pseudo",2
"34","mun",0.932645,1,3,"pseudo",188
"35","arm",0.70958,1,3,"real",2
"36","arm",0.70958,1,3,"real",188
"37","collapse",1.152455,1,8,"real",2
"38","collapse",1.152455,1,8,"real",188
"39","alk",1.112485,1,3,"pseudo",2
"40","alk",1.112485,1,3,"pseudo",188
"41","jewel",1.332555,0,5,"real",2
"42","jewel",1.332555,0,5,"real",188
"43","dooseful",0.148505,1,8,"pseudo",2
"44","dooseful",0.148505,1,8,"pseudo",188
"45","land",0.74153,1,4,"real",2
"46","land",0.74153,1,4,"real",188
"47","part",0.75115,1,4,"real",2
"48","part",0.75115,1,4,"real",188
"49","wass",0.96943,1,4,"pseudo",2
"50","wass",0.96943,1,4,"pseudo",188
"51","napery",1.21698,0,6,"real",2
"52","napery",1.21698,0,6,"real",188
"53","warpen",1.45016,1,6,"pseudo",2
"54","warpen",1.45016,1,6,"pseudo",188
"55","contive",0.79474,1,7,"pseudo",2
"56","contive",0.79474,1,7,"pseudo",188
"57","strarms",1.34949,1,7,"pseudo",2
"58","strarms",1.34949,1,7,"pseudo",188
"59","lant",1.650255,1,4,"pseudo",2
"60","lant",1.650255,1,4,"pseudo",188
"61","collosks",1.283895,1,8,"pseudo",2
"62","collosks",1.283895,1,8,"pseudo",188
"63","me",1.1935,1,2,"real",2
"64","me",1.1935,1,2,"real",188
"65","wared",1.63365,1,5,"pseudo",2
"66","wared",1.63365,1,5,"pseudo",188
"67","tice",1.350095,1,4,"pseudo",2
"68","tice",1.350095,1,4,"pseudo",188
"69","fite",1.591625,0,4,"pseudo",2
"70","fite",1.591625,0,4,"pseudo",188
"71","stail",0.093155,0,5,"pseudo",2
"72","stail",0.093155,0,5,"pseudo",188
"73","milk",0.733835,1,4,"real",2
"74","milk",0.733835,1,4,"real",188
"75","resolve",1.116665,1,7,"real",2
"76","resolve",1.116665,1,7,"real",188
"77","nop",1.536475,0,3,"pseudo",2
"78","nop",1.536475,0,3,"pseudo",188
"79","left",0.65296,0,4,"real",2
"80","left",0.65296,0,4,"real",188
"81","man",0.718055,1,3,"real",2
"82","man",0.718055,1,3,"real",188
"83","time",0.51269,1,4,"real",2
"84","time",0.51269,1,4,"real",188
"85","stain",0.816975,1,5,"real",2
"86","stain",0.816975,1,5,"real",188
"87","and",0.50372,1,3,"real",2
"88","and",0.50372,1,3,"real",188
"89","plane",0.61813,1,5,"real",2
"90","plane",0.61813,1,5,"real",188
"91","doubtful",0.96864,1,8,"real",2
"92","doubtful",0.96864,1,8,"real",188
"93","ston",1.233595,0,4,"pseudo",2
"94","ston",1.233595,0,4,"pseudo",188
"95","distides",0.09345,1,8,"pseudo",2
"96","distides",0.09345,1,8,"pseudo",188
"97","bangs",0.93456,1,5,"real",2
"98","bangs",0.93456,1,5,"real",188
"99","contain",1.099465,1,7,"real",2
"100","contain",1.099465,1,7,"real",188
"101","idthepiates",1.642945,1,11,"pseudo",2
"102","idthepiates",1.642945,1,11,"pseudo",188
"103","stass",1.21555,1,5,"pseudo",2
"104","stass",1.21555,1,5,"pseudo",188
"105","pame",0.69364,1,4,"pseudo",2
"106","pame",0.69364,1,4,"pseudo",188
"107","han",0.9004,1,3,"pseudo",2
"108","han",0.9004,1,3,"pseudo",188
"109","fistory",0.595905,1,7,"pseudo",2
"110","fistory",0.595905,1,7,"pseudo",188
"111","immiterise",0.46864,1,10,"pseudo",2
"112","immiterise",0.46864,1,10,"pseudo",188
"113","we",0.568215,1,2,"real",2
"114","we",0.568215,1,2,"real",188
"115","stamp",0.45485,1,5,"real",2
"116","stamp",0.45485,1,5,"real",188
"117","roder",1.100975,1,5,"pseudo",2
"118","roder",1.100975,1,5,"pseudo",188
"119","money",0.48729,1,5,"real",2
"120","money",0.48729,1,5,"real",188
"121","strange",0.65001,1,7,"real",2
"122","strange",0.65001,1,7,"real",188
"123","distance",0.80697,1,8,"real",2
"124","distance",0.80697,1,8,"real",188
"125","ggnoi",0.622965,1,5,"pseudo",2
"126","ggnoi",0.622965,1,5,"pseudo",188
"127","waves",0.52509,1,5,"real",2
"128","waves",0.52509,1,5,"real",188
"129","ees",0.482945,1,3,"pseudo",2
"130","ees",0.482945,1,3,"pseudo",188
"131","fimp",0.57872,0,4,"pseudo",2
"132","fimp",0.57872,0,4,"pseudo",188
"133","ways",0.722535,1,4,"real",2
"134","ways",0.722535,1,4,"real",188
"135","molk",0.66911,0,4,"pseudo",2
"136","molk",0.66911,0,4,"pseudo",188
"137","him",0.716085,1,3,"real",2
"138","him",0.716085,1,3,"real",188
"139","ase",0.56712,1,3,"pseudo",2
"140","ase",0.56712,1,3,"pseudo",188
"141","kind",0.642355,1,4,"real",2
"142","kind",0.642355,1,4,"real",188
"143","business",0.608935,1,8,"real",2
"144","business",0.608935,1,8,"real",188
"145","cow",0.43183,1,3,"real",2
"146","cow",0.43183,1,3,"real",188
"147","ancrusinishness",0.707525,1,15,"pseudo",2
"148","ancrusinishness",0.707525,1,15,"pseudo",188
"149","answer",0.72021,1,6,"real",2
"150","answer",0.72021,1,6,"real",188
"151","hom",0.56957,1,3,"pseudo",2
"152","hom",0.56957,1,3,"pseudo",188
"153","appropriates",0.585165,1,12,"real",2
"154","appropriates",0.585165,1,12,"real",188
"155","once",0.4893,0,4,"real",2
"156","once",0.4893,0,4,"real",188
"157","rebosks",0.84418,1,7,"pseudo",2
"158","rebosks",0.84418,1,7,"pseudo",188
"159","wndo",0.577595,1,4,"pseudo",2
"160","wndo",0.577595,1,4,"pseudo",188
"161","seadrill",0.53398,1,8,"pseudo",2
"162","seadrill",0.53398,1,8,"pseudo",188
"163","speveal",0.659055,1,7,"pseudo",2
"164","speveal",0.659055,1,7,"pseudo",188
"165","fattify",0.543545,1,7,"pseudo",2
"166","fattify",0.543545,1,7,"pseudo",188
"167","baafness",0.482285,1,8,"pseudo",2
"168","baafness",0.482285,1,8,"pseudo",188
"169","river",0.582485,1,5,"real",2
"170","river",0.582485,1,5,"real",188
"171","down",0.56582,1,4,"real",2
"172","down",0.56582,1,4,"real",188
"173","garden",0.58302,1,6,"real",2
"174","garden",0.58302,1,6,"real",188
"175","find",0.5016,1,4,"real",2
"176","find",0.5016,1,4,"real",188
"177","leld",1.639665,1,4,"pseudo",2
"178","leld",1.639665,1,4,"pseudo",188
"179","stop",0.558145,1,4,"real",2
"180","stop",0.558145,1,4,"real",188
"181","nap",0.81592,1,3,"real",2
"182","nap",0.81592,1,3,"real",188
"183","special",0.915675,1,7,"real",2
"184","special",0.915675,1,7,"real",188
"185","kile",0.885925,1,4,"pseudo",2
"186","kile",0.885925,1,4,"pseudo",188
"187","hitter",1.353895,1,6,"pseudo",2
"188","hitter",1.353895,1,6,"pseudo",188
"189","oenc",1.36967,0,4,"pseudo",2
"190","oenc",1.36967,0,4,"pseudo",188
"191","vosery",0.9405,1,6,"pseudo",2
"192","vosery",0.9405,1,6,"pseudo",188
"193","fish",0.719235,1,4,"real",2
"194","fish",0.719235,1,4,"real",188
"195","seashell",0.904315,1,8,"real",2
"196","seashell",0.904315,1,8,"real",188
"197","jixel",0.715855,1,5,"pseudo",2
"198","jixel",0.715855,1,5,"pseudo",188
"199","imagine",0.676005,1,7,"real",2
"200","imagine",0.676005,1,7,"real",188
"201","short",0.680875,1,5,"real",2
"202","short",0.680875,1,5,"real",188
"203","med",0.81624,0,3,"pseudo",2
"204","med",0.81624,0,3,"pseudo",188
"205","inside",0.634695,1,6,"real",2
"206","inside",0.634695,1,6,"real",188
"207","nurger",1.069135,0,6,"pseudo",2
"208","nurger",1.069135,0,6,"pseudo",188
"209","albust",1.151385,1,6,"pseudo",2
"210","albust",1.151385,1,6,"pseudo",188
"211","almost",0.63563,1,6,"real",2
"212","almost",0.63563,1,6,"real",188
"213","air",0.66323,1,3,"real",2
"214","air",0.66323,1,3,"real",188
"215","garment",0.711015,1,7,"real",2
"216","garment",0.711015,1,7,"real",188
"217","no",0.6075,0,2,"real",2
"218","no",0.6075,0,2,"real",188
"219","reverse",1.086055,1,7,"real",2
"220","reverse",1.086055,1,7,"real",188
"221","inni",0.829845,1,4,"pseudo",2
"222","inni",0.829845,1,4,"pseudo",188
"223","is",0.702745,1,2,"real",2
"224","is",0.702745,1,2,"real",188
"225","accastanct",0.857415,1,10,"pseudo",2
"226","accastanct",0.857415,1,10,"pseudo",188
"227","che",1.004035,1,3,"pseudo",2
"228","che",1.004035,1,3,"pseudo",188
"229","sildal",0.899355,1,6,"pseudo",2
"230","sildal",0.899355,1,6,"pseudo",188
"231","number",0.799465,1,6,"real",2
"232","number",0.799465,1,6,"real",188
"233","ypla",0.806635,1,4,"pseudo",2
"234","ypla",0.806635,1,4,"pseudo",188
"235","pumer",0.8135,0,5,"pseudo",2
"236","pumer",0.8135,0,5,"pseudo",188
"237","homogeneous",0.699425,0,11,"real",2
"238","homogeneous",0.699425,0,11,"real",188
"239","totoseneian",0.93337,1,11,"pseudo",2
"240","totoseneian",0.93337,1,11,"pseudo",188
"241","sould",0.76826,0,5,"pseudo",2
"242","sould",0.76826,0,5,"pseudo",188
"243","serning",0.715525,1,7,"pseudo",2
"244","serning",0.715525,1,7,"pseudo",188
"245","light",0.66456,1,5,"real",2
"246","light",0.66456,1,5,"real",188
"247","naw",2.33498,0,3,"pseudo",2
"248","naw",2.33498,0,3,"pseudo",188
"249","lape",1.33338,0,4,"pseudo",2
"250","lape",1.33338,0,4,"pseudo",188
"251","moon",0.89354,1,4,"real",2
"252","moon",0.89354,1,4,"real",188
"253","must",0.56644,1,4,"real",2
"254","must",0.56644,1,4,"real",188
"255","brush",0.60811,1,5,"real",2
"256","brush",0.60811,1,5,"real",188
"257","power",0.682925,1,5,"real",2
"258","power",0.682925,1,5,"real",188
"259","sholt",0.90773,1,5,"pseudo",2
"260","sholt",0.90773,1,5,"pseudo",188
"261","sheas",0.76626,1,5,"pseudo",2
"262","sheas",0.76626,1,5,"pseudo",188
"263","trood",1.06579,1,5,"pseudo",2
"264","trood",1.06579,1,5,"pseudo",188
"265","insows",0.899395,1,6,"pseudo",2
"266","insows",0.899395,1,6,"pseudo",188
"267","natural",0.680555,1,7,"real",2
"268","natural",0.680555,1,7,"real",188
"269","signal",0.56679,1,6,"real",2
"270","signal",0.56679,1,6,"real",188
"271","potent",0.643985,1,6,"real",2
"272","potent",0.643985,1,6,"real",188
"273","of",0.68939,1,2,"real",2
"274","of",0.68939,1,2,"real",188
"275","knew",0.38194,1,4,"real",2
"276","knew",0.38194,1,4,"real",188
"277","clought",0.77279,1,7,"pseudo",2
"278","clought",0.77279,1,7,"pseudo",188
"279","father",0.732935,1,6,"real",2
"280","father",0.732935,1,6,"real",188
"281","charring",0.852975,0,8,"real",2
"282","charring",0.852975,0,8,"real",188
"283","lost",0.61875,1,4,"real",2
"284","lost",0.61875,1,4,"real",188
"285","strosh",0.683095,1,6,"pseudo",2
"286","strosh",0.683095,1,6,"pseudo",188
"287","open",0.419105,1,4,"real",2
"288","open",0.419105,1,4,"real",188
"289","recorse",0.666525,1,7,"pseudo",2
"290","recorse",0.666525,1,7,"pseudo",188
"291","mpju",0.616725,1,4,"pseudo",2
"292","mpju",0.616725,1,4,"pseudo",188
"293","na",0.4361,1,2,"pseudo",2
"294","na",0.4361,1,2,"pseudo",188
"295","garbant",1.258185,1,7,"pseudo",2
"296","garbant",1.258185,1,7,"pseudo",188
"297","arf",0.526055,1,3,"pseudo",2
"298","arf",0.526055,1,3,"pseudo",188
"299","congusozation",0.62402,1,13,"pseudo",2
"300","congusozation",0.62402,1,13,"pseudo",188
"301","the",0.38512,1,3,"real",2
"302","the",0.38512,1,3,"real",188
"303","vesural",0.856565,1,7,"pseudo",2
"304","vesural",0.856565,1,7,"pseudo",188
"305","tried",0.57363,1,5,"real",2
"306","tried",0.57363,1,5,"real",188
"307","cowboy",0.540865,1,6,"real",2
"308","cowboy",0.540865,1,6,"real",188
"309","new",0.57398,1,3,"real",2
"310","new",0.57398,1,3,"real",188
"311","morning",0.46606,1,7,"real",2
"312","morning",0.46606,1,7,"real",188
"313","live",0.372155,1,4,"real",2
"314","live",0.372155,1,4,"real",188
"315","liffs",0.33236,0,5,"pseudo",2
"316","liffs",0.33236,0,5,"pseudo",188
"317","she",0.85289,1,3,"real",2
"318","she",0.85289,1,3,"real",188
"319","hust",0.584925,1,4,"pseudo",2
"320","hust",0.584925,1,4,"pseudo",188
"321","quen",0.66687,1,4,"pseudo",2
"322","quen",0.66687,1,4,"pseudo",188
"323","configuration",0.66159,1,13,"real",2
"324","configuration",0.66159,1,13,"real",188
"325","loms",0.57819,1,4,"pseudo",2
"326","loms",0.57819,1,4,"pseudo",188
"327","could",0.403185,1,5,"real",2
"328","could",0.403185,1,5,"real",188
"329","jump",0.504555,1,4,"real",2
"330","jump",0.504555,1,4,"real",188
"331","rescets",0.78528,1,7,"pseudo",2
"332","rescets",0.78528,1,7,"pseudo",188
"333","wread",0.60021,1,5,"pseudo",2
"334","wread",0.60021,1,5,"pseudo",188
"335","molent",0.51793,1,6,"pseudo",2
"336","molent",0.51793,1,6,"pseudo",188
"337","finally",0.567615,1,7,"real",2
"338","finally",0.567615,1,7,"real",188
"339","cowbim",0.80054,1,6,"pseudo",2
"340","cowbim",0.80054,1,6,"pseudo",188
"341","cag",0.73479,1,3,"pseudo",2
"342","cag",0.73479,1,3,"pseudo",188
"343","moop",1.018155,1,4,"pseudo",2
"344","moop",1.018155,1,4,"pseudo",188
"345","fasees",0.616965,1,6,"pseudo",2
"346","fasees",0.616965,1,6,"pseudo",188
"347","lame",0.68261,1,4,"real",2
"348","lame",0.68261,1,4,"real",188
"349","fine",0.56716,1,4,"real",2
"350","fine",0.56716,1,4,"real",188
"351","os",0.80997,1,2,"pseudo",2
"352","os",0.80997,1,2,"pseudo",188
"353","ot",0.551305,1,2,"pseudo",2
"354","ot",0.551305,1,2,"pseudo",188
"355","brought",0.64317,1,7,"real",2
"356","brought",0.64317,1,7,"real",188
"357","tha",0.752835,1,3,"pseudo",2
"358","tha",0.752835,1,3,"pseudo",188
"359","chanding",0.761225,1,8,"pseudo",2
"360","chanding",0.761225,1,8,"pseudo",188
"361","fing",0.78627,1,4,"pseudo",2
"362","fing",0.78627,1,4,"pseudo",188
"363","knead",0.66645,1,5,"real",2
"364","knead",0.66645,1,5,"real",188
"365","brubs",0.64539,1,5,"pseudo",2
"366","brubs",0.64539,1,5,"pseudo",188
"367","timelly",0.499105,0,7,"pseudo",2
"368","timelly",0.499105,0,7,"pseudo",188
"369","into",0.83718,1,4,"real",2
"370","into",0.83718,1,4,"real",188
"371","shoes",0.507205,1,5,"real",2
"372","shoes",0.507205,1,5,"real",188
"373","oban",0.6872,1,4,"pseudo",2
"374","oban",0.6872,1,4,"pseudo",188
"375","tascer",0.49246,1,6,"pseudo",2
"376","tascer",0.49246,1,6,"pseudo",188
"377","famous",0.622965,1,6,"real",2
"378","famous",0.622965,1,6,"real",188
