"","listA","listB","listC"
"1","him","time","play"
"2","we","plays","people"
"3","miss","open","moon"
"4","look","left","black"
"5","plane","candy","become"
"6","will","understand","hot"
"7","pretty","brought","into"
"8","faster","almost","light"
"9","wood","more","library"
"10","waves","truck","agreed"
"11","resolve","investigate","jewel"
"12","tried","complete","from"
"13","configuration","pledge","dryer"
"14","distance","elements","budget"
"15","natural","watch","back"
"16","come","morning","sun"
"17","street","once","spy"
"18","pickle","lame","animal"
"19","an","invent","doubtful"
"20","building","money","arm"
"21","farmer","sick","without"
"22","however","imagine","long"
"23","inside","great","through"
"24","contain","toy","shine"
"25","grasshopper","custom","went"
"26","peace","them","round"
"27","qualify","circus","testify"
"28","liberty","bangs","gravel"
"29","purchase","pencil","short"
"30","question","mystery","business"
"31","hammer","history","guess"
"32","compliment","describe","famous"
"33","best","chance","number"
"34","reverse","begin","brush"
"35","answer","give","garden"
"36","guarantee","overwhelm","whose"
"37","garment","accustomed","fatter"
"38","telescoped","potent","appropriates"
"39","hu","ap","uoy"
"40","ypla","fror","khtna"
"41","om","ot","fafever"
"42","ujst","asca","cok"
"43","inni","orn","spu"
"44","ablood","naw","trull"
"45","hencory","dag","mot"
"46","hant","spoll","distides"
"47","wews","sobsaller","chigshen"
"48","fireer","grat","ston"
"49","contive","overtruan","immiterise"
"50","daople","mun","tfaer"
"51","shring","leld","runey"
"52","etecants","holily","ther"
"53","cuppom","oban","clomify"
"54","coth","sids","fistory"
"55","hus","brubs","besime"
"56","strarms","garbant","moop"
"57","fasees","piscil","cag"
"58","creat","wread","rescets"
"59","nied","lant","cotosks"
"60","med","wared","swane"
"61","groon","freat","mannanency"
"62","bulbet","molent","mich"
"63","goud","tice","fimp"
"64","fing","fave","sain"
"65","fite","liffs","fattify"
"66","cotplicant","cas","bledge"
"67","ge","ip","twew"
"68","utashing","yos","loms"
"69","telechinct","wase","banny"
"70","drustion","germantia","blans"
"71","beller","lape","purshare"
"72","tate","bere","warpen"
"73","insows","cibsus","guoys"
"74","hust","complase","snose"
"75","chanding","shink","streat"
"76","rackle","bads","mader"
