"","mse","info","sd","r.wj.1","r.wj.2","r.wj.3","min.wj","max.wj","mean.wj","length.diff","listnum"
"34",0.00630553401642644,6.89906752979779,4.61607586934781,0.861641955859518,0.846645352482772,0.850549071843609,0.846645352482772,0.861641955859518,0.852945460061966,7,"205"
"35",0.00640371954462505,6.90417550887703,4.67425425336434,0.838833477789734,0.88805882937628,0.847972533533809,0.838833477789734,0.88805882937628,0.858288280233274,5,"174"
"36",0.00656700420853189,6.89932747166187,4.59498215616411,0.881032612335979,0.867061198093503,0.830929604278518,0.830929604278518,0.881032612335979,0.859674471569333,5,"105"
"37",0.0066442179491891,6.90753672112262,4.74162166044991,0.840901475057168,0.858603693729128,0.848017083669713,0.840901475057168,0.858603693729128,0.849174084152003,5,"222"
"38",0.00678639534179105,6.90359684169914,4.79057514217812,0.859788209000903,0.862031974092273,0.824726616418575,0.824726616418575,0.862031974092273,0.848848933170584,7,"131"
"39",0.00686459393770923,6.90699210749891,4.75892564097414,0.851200859188175,0.877807844371086,0.855622205880562,0.851200859188175,0.877807844371086,0.861543636479941,5,"13"
"40",0.00703763825864748,6.89819496551964,4.68455509180581,0.824259549048907,0.88196579720479,0.882043113600696,0.824259549048907,0.882043113600696,0.862756153284798,5,"126"
"41",0.00716441068497447,6.89779397116224,4.63146562525891,0.842764401283289,0.884451574395586,0.854500300460403,0.842764401283289,0.884451574395586,0.860572092046426,5,"11"
"42",0.0071714143974082,6.90320292721741,4.75869900944211,0.848457733082474,0.847571582885692,0.884443179500568,0.847571582885692,0.884443179500568,0.860157498489578,5,"85"
"43",0.00722871853911862,6.90180904550589,4.65261635767756,0.827829095841234,0.860836420743848,0.858970728452809,0.827829095841234,0.860836420743848,0.849212081679297,5,"43"
"44",0.00726747730205732,6.90012798198099,4.60835511631064,0.871472125891583,0.843602806326453,0.823595765420826,0.823595765420826,0.871472125891583,0.846223565879621,5,"170"
"45",0.00735672818770406,6.90229321645825,4.62458152132662,0.851407939992778,0.853133641737673,0.87852876218372,0.851407939992778,0.87852876218372,0.86102344797139,5,"16"
"46",0.00790200344851168,6.90334903941147,4.66020230814329,0.878915730790814,0.842352359164802,0.821135024514912,0.821135024514912,0.878915730790814,0.847467704823509,7,"188"
"47",0.00808848080915875,6.90281298030649,4.7145050233236,0.869919772714844,0.850057841818637,0.845297188333064,0.845297188333064,0.869919772714844,0.855091600955515,7,"228"
"48",0.00812656128111033,6.90829473020143,4.82180961167766,0.878141436798772,0.849350269320258,0.867397115695705,0.849350269320258,0.878141436798772,0.864962940604912,5,"144"
"49",0.00831005344847811,6.90131209535838,4.71013331671233,0.86611200504736,0.845709292358925,0.854882522363246,0.845709292358925,0.86611200504736,0.855567939923177,7,"40"
"50",0.00832740234450721,6.8870390390965,4.72730227438262,0.806594960680469,0.864051833435127,0.889373282682755,0.806594960680469,0.889373282682755,0.85334002559945,7,"62"
