"","subj","median.rt","mean.rt","sd.rt","pcor","median.raw.rt","mean.raw.rt","sd.raw.rt","Q1.rt","Q3.rt","IQR.rt","word.id.raw","MonthsSinceTesting","mean.rt.z","median.rt.z","sd.rt.z","pcor.z","median.rt.c","mean.rt.c","diff.rt","sumz","outlier","mahal"
"1","1",-0.187086643357144,-0.168919884768543,0.136783016343123,0.972,0.65,0.738732,0.64670309258261,0.56975,0.74525,0.1755,NA,NA,-0.732134788214046,-0.78652827003469,-0.665987393033021,1.39948191787756,-0.187755303199631,-0.17579627165684,-0.0112903717003048,0.478900749675877,FALSE,4.28743595860889
"2","2",-0.146819541767632,-0.129218238926508,0.198505422945933,0.816,0.7131525,0.84554959,0.771692380869713,0.5916,0.8765725,0.2849725,52,7,-0.473842793079482,-0.49820790078618,-0.158068829778071,0.165924073322143,-0.144690002139242,-0.127812416013889,-0.0190071257537435,0.0112492880104386,FALSE,4.94752826103491
"3","3",0.0856239989649972,0.12744992353686,0.228345260193451,0.854,1.217935,1.57192058,1.08254232761478,0.8670175,1.8862725,1.019255,63,7,1.19599558173156,1.16613358017401,0.0874855498502654,0.466406112380514,0.0774460349200771,0.114584016583985,-0.0289600176189877,-0.00186155088526818,FALSE,6.32406653075739
"4","4",-0.11512539132096,-0.0654011167648669,0.187996280246578,0.96,0.76714,1.00544424,1.28147744875063,0.65980125,0.9514925,0.29169125,69,6,-0.0586597079131577,-0.271271548302783,-0.244549395826747,1.30459285291176,-0.116244920732253,-0.0796379865029019,-0.0354874048180586,0.129424004505786,FALSE,7.35207314973115
"5","5",-0.133829374837401,-0.0920287611981498,0.184649489631263,0.898,0.7348025,0.9681602,2.09350115580847,0.621855,0.96885375,0.34699875,NA,NA,-0.231894526282441,-0.40519574997124,-0.272090400372875,0.814332683921786,-0.1263684686209,-0.0875996453735898,-0.0462297294638108,0.138261025535475,FALSE,6.62874675989783
"6","6",-0.0515051588334413,-0.00988136411335972,0.198420809428623,0.878,0.8881675,1.10178759,0.672565487233233,0.7467125,1.206445,0.4597325,NA,NA,0.302542135929609,0.184261832506905,-0.158765121100938,0.656184242312117,-0.0516824134148482,-0.0112646586877238,-0.0402405001457176,0.107259962267497,FALSE,5.73210138813712
"7","7",0.0958568543944811,0.165883843075593,0.278760259536434,0.748,1.2469725,1.95115703,2.37997956109808,0.97294375,1.8237325,0.85078875,40,4,1.44603997026897,1.23940283818944,0.502354564883473,-0.37178062815073,0.0904914084407373,0.156828718633785,-0.0609718642393042,-0.406497710488992,FALSE,11.9019142654892
"8","8",-0.0261912078814754,0.012072459947213,0.185430173410742,0.852,0.941475,1.15434156,0.7940179981153,0.77226125,1.24217875,0.4699175,64,4,0.445369892743531,0.365514701412435,-0.265666091836418,0.450591268219547,-0.029496891279225,0.00891587001277917,-0.0351070778942545,0.239474883954943,FALSE,4.74284060705506
"9","9",0.0915192354625613,0.0799683834717752,0.197602791687689,0.786,1.23458,1.33063804,0.684680311698836,0.96861125,1.5508025,0.58219125,46,6,0.887088949390185,1.20834463328412,-0.165496653757561,-0.071298589092359,0.0908433032897746,0.0849391333216421,0.0065801021409192,0.257015889220122,FALSE,3.33687128731018
"10","10",-0.0961574438163074,-0.0599337811050343,0.166522491857733,0.952,0.8013875,0.95660234,0.583801492691876,0.6966525,0.9865475,0.289895,67,6,-0.0230901740639243,-0.135457312548295,-0.421258898038646,1.24133347626789,-0.0965315823505154,-0.0604204482009235,-0.0357369956153839,0.325101454222339,FALSE,4.81989987614681
"11","11",-0.22606595668815,-0.247648222004623,0.305864672595905,0.666,0.5942025,0.7100451,0.532169085296281,0.38049875,0.87396375,0.493465,52,5,-1.24432764236531,-1.06562782200185,0.725398922625813,-1.02018923875037,-0.188857493272851,-0.200586170332821,-0.0254797863553294,-0.951464879313963,FALSE,8.43722355490226
"12","12",-0.190612214705913,-0.176932467499928,0.10549999758743,0.956,0.644745,0.69414876,0.345077964788434,0.58518375,0.72775,0.14256625,NA,6,-0.784263256341153,-0.81177205448809,-0.923417827379466,1.27296316458982,-0.189471779705506,-0.175382298578028,-0.015229916127885,0.732805612673553,FALSE,3.48607438669856
"13","13",-0.242408523206531,-0.236338718366263,0.0913957210782003,0.826,0.5722575,0.5956291,0.190204944850762,0.51146375,0.65766125,0.1461975,54,5,-1.17074998086592,-1.18264381339556,-1.03948303375449,0.244998294126978,-0.245082408325081,-0.239216125237749,-0.00319239796878204,0.797074510547964,FALSE,4.15950325564642
