"","subj","pcor","f1PL","f2PL1PL","f2PL"
"103",120,0.918,2.11197739630911,2.11073891346632,-0.0903689288242287
"104",83,0.92,1.89047519311222,1.98991166012522,0.163394985632442
"105",27,0.932,2.12299000064419,2.12157569173909,0.289654009846482
"106",34,0.932,2.70654836901214,2.70619118174185,0.371988660962932
"107",15,0.94,2.36483818365709,2.36402151370868,0.11742305103246
"108",82,0.944,3.73717987784306,3.73789464241947,0.984065205955477
"109",97,0.946,2.77420534898297,2.77341674517223,0.503901547363213
"110",106,0.946,2.75971754379114,2.7589792448084,0.632838733231135
"111",76,0.948,3.63086059774837,3.62962564731116,0.752923801993895
"112",10,0.952,4.65293831952033,4.6540877522151,1.73195054196283
"113",64,0.954,3.23334395470399,3.23227421856817,0.8814756819726
"114",12,0.956,4.0684890307364,4.06705174507289,0.808084106782143
"115",4,0.96,4.21517082325931,4.2139453367227,1.41069149004087
"116",1,0.972,4.48408887252812,4.48424343032644,1.4590399816405
"117",16,0.972,4.92840849570307,4.92798946375397,1.77586458923655
"118",102,0.98,5.21925070808164,5.21956254104763,2.09238023736418
