"","words","a","b","g","u"
"1","play",1,-3.73903909949762,0.5,1
"2","hu",1,-3.14156116380292,0.5,1
"3","time",1,-2.96851944728685,0.5,1
"4","him",1,-2.8455559530415,0.5,1
"5","we",1,-2.7750742513431,0.5,1
"6","plays",1,-2.76722709769059,0.5,1
"7","people",1,-2.75848192446225,0.5,1
"8","ap",1,-2.74812484300023,0.5,1
"9","open",1,-2.73474702234906,0.5,1
"10","uoy",1,-2.6540313628052,0.5,1
"11","khtna",1,-2.64532458318596,0.5,1
"12","miss",1,-2.61230797958968,0.5,1
"13","et",1,-2.6103310817184,0.5,1
"14","moon",1,-2.60143925971745,0.5,1
"15","black",1,-2.56045265453626,0.5,1
"16","ypla",1,-2.52851593857666,0.5,1
"17","os",1,-2.49756646790343,0.5,1
"18","fror",1,-2.45889718350229,0.5,1
"19","look",1,-2.37678479487921,0.5,1
"20","om",1,-2.30676865180142,0.5,1
"21","left",1,-2.28637708858591,0.5,1
"22","plane",1,-2.27828340674899,0.5,1
"23","candy",1,-2.27629872510584,0.5,1
"24","become",1,-2.21360787286342,0.5,1
"25","more",1,-2.16300118436895,0.5,1
"26","fafever",1,-2.12332105081287,0.5,1
"27","library",1,-2.09089770287974,0.5,1
"28","wood",1,-2.08601635528891,0.5,1
"29","tried",1,-2.08023096257732,0.5,1
"30","ot",1,-2.06976114533163,0.5,1
"31","cok",1,-2.0666328232987,0.5,1
"32","complete",1,-2.03519328279028,0.5,1
"33","ujst",1,-2.02997720329489,0.5,1
"34","asca",1,-2.02303907804512,0.5,1
"35","from",1,-2.0059739500191,0.5,1
"36","inni",1,-1.99612879705782,0.5,1
"37","them",1,-1.98876480730081,0.5,1
"38","round",1,-1.97140350918502,0.5,1
"39","peace",1,-1.95463402226432,0.5,1
"40","sun",1,-1.94013981637983,0.5,1
"41","spu",1,-1.93599829081564,0.5,1
"42","come",1,-1.92052796126019,0.5,1
"43","orn",1,-1.90310118065317,0.5,1
"44","morning",1,-1.86860868331411,0.5,1
"45","through",1,-1.85019466110768,0.5,1
"46","tfaer",1,-1.84509430243048,0.5,1
"47","mun",1,-1.83594781315051,0.5,1
"48","daople",1,-1.83348726950685,0.5,1
"49","great",1,-1.82314424706708,0.5,1
"50","utashing",1,-1.81598071868811,0.5,1
"51","inside",1,-1.81105574047196,0.5,1
"52","sick",1,-1.80582529275315,0.5,1
"53","farmer",1,-1.80480468394502,0.5,1
"54","without",1,-1.79322546989123,0.5,1
"55","hot",1,-1.75558034039146,0.5,1
"56","will",1,-1.75481473194352,0.5,1
"57","understand",1,-1.74252610909463,0.5,1
"58","best",1,-1.73409522480316,0.5,1
"59","loms",1,-1.72890732671845,0.5,1
"60","number",1,-1.71918356776488,0.5,1
"61","chance",1,-1.71742494298829,0.5,1
"62","light",1,-1.70147005254997,0.5,1
"63","faster",1,-1.70095126904216,0.5,1
"64","yos",1,-1.68764048004557,0.5,1
"65","almost",1,-1.67572080182429,0.5,1
"66","wews",1,-1.67395887611947,0.5,1
"67","chigshen",1,-1.66512090818506,0.5,1
"68","sobsaller",1,-1.65966252021684,0.5,1
"69","ef",1,-1.6525096366627,0.5,1
"70","che",1,-1.65007073414051,0.5,1
"71","jixel",1,-1.64875492502882,0.5,1
"72","watch",1,-1.64755145410079,0.5,1
"73","insows",1,-1.62867514472738,0.5,1
"74","natural",1,-1.61038604264208,0.5,1
"75","back",1,-1.60527617849141,0.5,1
"76","cibsus",1,-1.60432045696531,0.5,1
"77","answer",1,-1.58269652488628,0.5,1
"78","guoys",1,-1.57449291341012,0.5,1
"79","give",1,-1.56881621430857,0.5,1
"80","imeyits",1,-1.56505304413307,0.5,1
"81","garden",1,-1.54083311308486,0.5,1
"82","imagine",1,-1.52892296652264,0.5,1
"83","long",1,-1.52709818228967,0.5,1
"84","building",1,-1.51013540410854,0.5,1
"85","however",1,-1.50922649039373,0.5,1
"86","phlere",1,-1.50323200085312,0.5,1
"87","slellen",1,-1.49440342125156,0.5,1
"88","money",1,-1.48631260522489,0.5,1
"89","arm",1,-1.4832762909488,0.5,1
"90","spy",1,-1.47093734712007,0.5,1
"91","street",1,-1.46171155537362,0.5,1
"92","ip",1,-1.45184140570859,0.5,1
"93","twew",1,-1.45048897532322,0.5,1
"94","ge",1,-1.44075688234591,0.5,1
"95","once",1,-1.41618937618876,0.5,1
"96","dag",1,-1.39692560063715,0.5,1
"97","lame",1,-1.38084009642298,0.5,1
