"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"1",1,"plays",1.23904084328552,-2.5163110248816,0.5,1,"plays",5,41.7639,5,14.24,7024.83,550,748.95,37.5,329.29,10.67,194774.29,29478.8,8898.17,1473.75,1994.18,252.33
"2",2,"we",1.29084855359225,-2.44322772073801,0.5,1,"we",2,3317.08,11,1608.93,12166.18,6.5,3317.08,1,NA,NA,306803.05,34206.5,14486.49,789,NA,NA
"3",3,"them",1.02408451553245,-2.34115063914291,0.5,1,"them",4,2305.28,7,937.83,24886.27,138.25,13599.42,14.33,5587.55,4,315224.54,32209.75,84955.59,2144,44210.14,342
"4",4,"play",2.43824102004052,-2.24453508067965,0.5,1,"play",4,268.074,6,24.32,10051.06,158.5,781.22,19.33,329.47,3,177536.15,24131,10736.97,1808.67,2048.45,298.5
"5",5,"hu",1.83901769736033,-2.1820939715169,0.5,1,"hu",2,NA,11,832.59,4579.22,5.5,0,0,NA,NA,181304.66,15439,2374.12,486,NA,NA
"6",6,"from",1.14550118185816,-2.1820087715892,0.5,1,"from",4,4229.52,2,1.93,9275.84,122.75,4635.42,12,4231.45,2,190894.84,23821,15914.85,2034.33,4688.21,139
"7",7,"more",1.23622405969414,-2.1491074654419,0.5,1,"more",4,2427.66,20,19.84,21742.86,295.25,5522.53,39.33,2501.1,6.5,297507.82,37722.75,35510.03,4303,4047.56,322
"8",8,"him",1.7873575726261,-2.10338966044445,0.5,1,"him",3,2617.38,14,438.35,12643.44,55.33,5678.31,6.5,2617.38,1,217616.5,25177.67,20303.71,1741,3196.9,52
"9",9,"look",1.43935078228414,-2.09380358408958,0.5,1,"look",4,557.923,12,70.84,13233.58,233,2786.86,35.33,972.56,6.5,211856.95,25262.25,9151.39,1474,2497.24,187.5
"10",10,"plane",1.36036609435112,-2.08974798853198,0.5,1,"plane",5,46.0474,6,121.43,10136.15,410.2,1154.37,53,389.32,12,287680.1,37964.4,27488.37,3694,1900,381.33
"11",11,"hot",1.08145553163328,-2.05859111490832,0.5,1,"hot",3,143.378,19,390.3,22922.38,77.33,3766.43,9,143.38,1,320006.26,27977,18063.43,1757.5,549.36,105
"12",12,"open",1.77050074780492,-2.00892133056303,0.5,1,"open",4,304.484,3,8.03,11323.22,108.75,3269.84,9.67,304.48,1,302426.67,37975.75,22083.27,3396.33,2037.18,285.5
"13",13,"moon",1.74438464003011,-1.99247304301196,0.5,1,"moon",4,54.7928,13,31.69,16041.88,224.5,3092.77,36,257.9,6,258922.33,30065,23132.03,3345,465.98,135
"14",14,"people",1.89046467211807,-1.98291264169882,0.5,1,"people",6,1317.05,0,0,8947.96,631,2156.06,72.8,1402.09,5.5,282148.41,37010.33,11804.21,2247.2,1829.27,97.25
"15",15,"miss",1.75407411672986,-1.96611779313014,0.5,1,"miss",4,241.481,8,24.25,13923.98,274,998.49,22.33,266.05,3,233899.7,41219,18342.15,3497.67,1207.29,406
"16",16,"uoy",1.78624376905433,-1.9480679828115,0.5,1,"uoy",3,NA,6,49.45,11572.75,59,148.35,3,0,0,173593.15,20286.33,791.7,213.5,7.32,9
"17",17,"natural",1.13671491724815,-1.94320770761514,0.5,1,"natural",7,163.665,0,0,3843.05,564,787.76,69.17,350.4,8.8,281901.67,35438,20861.13,3891.5,1983.01,355
"18",18,"spu",1.29726040829285,-1.93545356529859,0.5,1,"spu",3,NA,3,3.39,4954.7,24.33,4.91,1,0,0,153402.7,28526,4464.42,1064.5,75.38,47
"19",19,"om",1.60578626619372,-1.91915564147853,0.5,1,"om",2,NA,14,3025.07,21175.51,7,0,0,NA,NA,212922.57,24029,18694.76,1876,NA,NA
"20",20,"os",1.78390158156844,-1.90862386062733,0.5,1,"os",2,NA,14,4245.57,29718.99,7,0,0,NA,NA,293426.4,42091,8846.27,1638,NA,NA
"21",21,"orn",1.31550671408649,-1.8907578291101,0.5,1,"orn",3,NA,5,185.5,7099.31,37.67,3.24,2,0,0,284248.04,37187,21143.73,2461.5,813.98,193
"22",22,"alk",0.9197997192325,-1.84221226671832,0.5,1,"alk",3,NA,9,414.97,14641.35,23.67,1757.74,3,0,0,194318.72,25436,16197.94,2542,978.12,93
"23",23,"khtna",2.03135220301739,-1.8205444822979,0.5,1,"khtna",5,NA,0,0,7196.72,189.4,25,4.25,0,0,267305.54,27293.8,3552.64,742.5,20.78,4.67
"24",24,"ap",2.30573376955548,-1.80141592878825,0.5,1,"ap",2,NA,17,1132.36,9625.07,8.5,0,0,NA,NA,230178.32,29055,5990.98,1452,NA,NA
"25",25,"rebosks",0.981186301300543,-1.79730916756528,0.5,1,"rebosks",7,NA,0,0,4907.17,885.71,424.88,67.33,3.91,3.2,244600.8,36222.29,13047.22,1948.5,79.34,55.8
"26",26,"back",1.29847974927034,-1.79693414589551,0.5,1,"back",4,1235.84,16,22.16,12493.28,226.75,2378.72,36.33,1335.52,5.5,148964.86,20045.75,8339.06,1853,2228.36,387
"27",27,"however",1.22508267253326,-1.79064636041458,0.5,1,"however",7,435.546,0,0,5890.16,965.71,1222.17,170.5,474.79,7.2,283822.06,31798.57,25269.6,3091.83,4328.85,331.2
"28",28,"fror",2.01244315702295,-1.78996928279942,0.5,1,"fror",4,NA,2,2116.57,8752.9,121.5,3185.24,10.33,2116.57,1,225940.03,29974.25,22154.41,2798.33,2451.37,86
"29",29,"waay",1.05214415001552,-1.78737199854636,0.5,1,"waay",4,NA,3,3.75,21917.68,237.5,902.17,17.67,0,0,233907.27,24442.75,9847.72,569.67,0,0
"30",30,"inni",1.58008239124429,-1.78461229726338,0.5,1,"inni",4,NA,1,2.14,4606.25,81.25,685.59,3.33,1.07,0.5,296072.09,43640,30440.02,5378.33,607.87,151.5
"31",31,"animal",1.12705460358645,-1.78236405011476,0.5,1,"animal",6,119.164,0,0,3448.34,348.33,666.27,46.6,161.52,3.75,271410.58,35856.67,26406.13,3473.2,1095.1,228
"32",32,"sun",1.54870446132019,-1.76350389030539,0.5,1,"sun",3,155.217,17,34.55,8546.83,61.33,352.29,7.5,155.22,1,222783.33,36080.33,10823.43,1935,377.07,97
"33",33,"time",2.62007201007954,-1.75416109124998,0.5,1,"time",4,1770.21,10,5.6,24790.78,235.75,3582,18.33,1777.91,3,330404.94,41208,23338.23,4191,3055.73,222.5
"34",34,"become",1.89957936295209,-1.7385789895839,0.5,1,"become",6,392.057,1,279.85,7317.45,528.17,1426.36,40.8,621.36,4,275226.71,34704.83,20246.61,2461.2,4189.49,332
"35",35,"into",1.06287946197251,-1.73611339774953,0.5,1,"into",4,2006.57,3,24.57,5974.3,63.25,2098.68,6.33,2043.25,2,326864.65,39703.5,49354.55,6607,3883.06,490
"36",36,"morning",1.63566811646482,-1.69325412290506,0.5,1,"morning",7,305.257,2,2.92,8787.21,1212.71,3620.48,425,2160.99,218.8,233088.7,32897.14,29896.91,5000.67,7505.13,1628.4
"37",37,"black",2.6395597591721,-1.68474269924108,0.5,1,"black",5,346.307,5,12.68,6487.72,303.4,1343.6,52.5,594.45,10.33,153179.78,21906.2,10412.52,2390,1725.69,335.33
"38",38,"cag",1.0333133596929,-1.67869328634669,0.5,1,"cag",3,NA,21,114.5,11270.87,74.67,1201.7,10,0,0,194144.35,27068.33,11036.03,2334,20.64,11
"39",39,"jixel",1.41876152613321,-1.6766259682571,0.5,1,"jixel",5,NA,0,0,6645.42,352.4,242.49,25,37.46,3,201887.93,28753.6,4587.93,818.25,38.81,10.33
"40",40,"give",1.4603667197144,-1.62007565286619,0.5,1,"give",4,465.947,8,101.73,17107.14,208.75,2764.27,15,724.53,4,237964.38,33548,13571.33,1837,3276.39,486
"41",41,"left",2.32616605644094,-1.59266304457534,0.5,1,"left",4,567.561,7,9.83,15591.09,192.75,902.82,15.33,568.93,2.5,294587.1,34727.75,11659.92,2195.67,596.18,33.5
"42",42,"cok",1.99398133947974,-1.58995165261897,0.5,1,"cok",3,NA,13,6.09,10014.74,55.67,39.59,6.5,0,0,156967.2,20339.33,12578.26,2216.5,6.6,8
"43",43,"almost",1.66661315344231,-1.56853538144376,0.5,1,"almost",6,481.177,0,0,4770.02,364.33,913.32,37.6,487.74,3.5,272263.37,34730.17,17227.8,2972.8,1464.74,129.25
"44",44,"tfaer",1.81192809840929,-1.56795624817938,0.5,1,"tfaer",5,NA,0,0,11729.74,415.2,1843.47,46.75,0,0,326597.84,38161,17921.16,3016.5,13.31,17.67
"45",45,"faster",1.64102899398086,-1.56717537231313,0.5,1,"faster",6,35.9931,12,8.27,9508.89,980.67,2608.09,233.4,621.61,45.75,316119.33,40279.17,34150.22,5694.4,4312.27,954.25
"46",46,"fafever",2.14089548907518,-1.55581745215829,0.5,1,"fafever",7,NA,0,0,5596.7,1024.14,1018.46,163.83,206.19,5,271150.44,32794.14,19869.16,2796.33,3461.43,286.2
"47",47,"et",3.06709662992197,-1.55335131613874,0.5,1,"et",2,NA,15,1103.9,8279.23,7.5,0,0,NA,NA,456737.32,50848,13927.55,2447,NA,NA
"48",48,"ypla",3.24738933703875,-1.55149436557493,0.5,1,"ypla",4,NA,0,0,3890.02,77.25,1.07,1.67,0,0,177536.15,24131,7674.41,1658.33,1516.5,218.5
"49",49,"long",1.56262002586916,-1.53734989600039,0.5,1,"long",4,780.604,8,7.16,11458.24,227.25,1848.72,33.33,801.34,3.5,215974.28,29560.75,32228.51,5762.67,2427.93,222
"50",50,"short",0.88112719602422,-1.53489645777072,0.5,1,"short",5,194.363,7,21.49,12720.76,370.6,1409.26,44.5,387.81,9.67,293329.11,34832,20475.43,2490.25,2509.92,377
"51",51,"spy",1.53307407681795,-1.53074577439806,0.5,1,"spy",3,8.32899,7,123.17,5230.05,37.67,9.07,1.5,8.33,1,140683.87,25387.67,3018.81,766.5,12.73,8
"52",52,"mun",1.87396574027947,-1.52786577623129,0.5,1,"mun",3,NA,17,133.31,6883.25,55,280.42,7,0,0,169114.11,24039,8389.28,1575,403.54,80
