"word","rt","acc","wordLength","realpseudo","subj"
"umly",0.583305,0,4,"pseudo",2
"peace",0.64352,1,5,"real",2
"ganter",0.755515,1,6,"pseudo",2
"pickle",0.76611,1,6,"real",2
"toy",0.771175,1,3,"real",2
"do",0.76488,1,2,"real",2
"look",0.643935,1,4,"real",2
"tok",0.916315,1,3,"pseudo",2
"chigshen",0.62736,1,8,"pseudo",2
"pealt",0.88255,0,5,"pseudo",2
"uffive",0.468995,1,6,"pseudo",2
"streat",0.66745,0,6,"pseudo",2
"mout",0.628725,1,4,"pseudo",2
"spuer",0.450605,0,5,"pseudo",2
"wist",0.649825,0,4,"pseudo",2
"so",0.599165,0,2,"real",2
"sobsaller",0.54974,0,9,"pseudo",2
"ridicule",0.22661,0,8,"real",2
"have",0.592965,1,4,"real",2
"good",0.533715,1,4,"real",2
"cuppom",0.59557,0,6,"pseudo",2
"winner",0.46864,1,6,"real",2
"ag",0.633935,1,2,"pseudo",2
"cotplicant",0.587505,1,10,"pseudo",2
"waay",0.80223,0,4,"pseudo",2
"invent",0.58538,0,6,"real",2
"yammering",0.635535,0,9,"real",2
"drustion",0.631835,1,8,"pseudo",2
"fruit",0.579165,1,5,"real",2
"question",0.774955,1,8,"real",2
"wase",0.71529,0,4,"pseudo",2
"freat",0.764985,1,5,"pseudo",2
"best",0.46623,1,4,"real",2
"mystery",0.41756,0,7,"real",2
"cibsus",0.452585,0,6,"pseudo",2
"compliment",0.700905,1,10,"real",2
"guoys",0.930795,0,5,"pseudo",2
"crit",0.901595,1,4,"pseudo",2
"went",0.58464,1,4,"real",2
"orn",0.785525,1,3,"pseudo",2
"coth",0.83105,1,4,"pseudo",2
"circus",0.77585,1,6,"real",2
"beeltisul",0.991345,0,9,"pseudo",2
"ganner",0.76679,1,6,"pseudo",2
"here",0.619505,1,4,"real",2
"purshare",0.643585,1,8,"pseudo",2
"ef",0.72183,1,2,"pseudo",2
"swollen",0.668825,0,7,"real",2
"come",0.68737,1,4,"real",2
"slellen",0.771755,1,7,"pseudo",2
"you",0.5721,0,3,"real",2
"trull",0.800295,0,5,"pseudo",2
"old",0.669305,1,3,"real",2
"hant",1.418495,0,4,"pseudo",2
"bledge",0.859995,1,6,"pseudo",2
"begin",0.49843,0,5,"real",2
"from",10.598615,1,4,"real",2
"bot",0.019065,0,3,"pseudo",2
"beautiful",0.649965,1,9,"real",2
"mistake",0.66255,1,7,"real",2
"am",0.62751,1,2,"real",2
"away",0.624785,1,4,"real",2
"ball",0.558705,1,4,"real",2
"huge",0.6728,0,4,"real",2
"gibs",0.63503,1,4,"pseudo",2
"slit",0.791535,0,4,"real",2
"chance",0.67327,1,6,"real",2
"bere",0.54262,0,4,"pseudo",2
"family",0.558825,1,6,"real",2
"bams",0.55902,0,4,"pseudo",2
"if",1.76897,1,2,"real",2
"hot",0.55358,1,3,"real",2
"my",0.56936,1,2,"real",2
"wews",0.585245,1,4,"pseudo",2
"charks",0.717225,1,6,"pseudo",2
"shine",0.57964,1,5,"real",2
"sudsage",0.54911,0,7,"pseudo",2
"black",0.56506,1,5,"real",2
"just",0.500045,1,4,"real",2
"benon",0.645965,1,5,"pseudo",2
"ge",0.66075,1,2,"pseudo",2
"some",0.561125,1,4,"real",2
"think",0.532815,1,5,"real",2
"tate",0.56691,1,4,"pseudo",2
"mistive",0.5664,1,7,"pseudo",2
"hand",0.73803,1,4,"real",2
"give",0.540565,1,4,"real",2
"uoy",0.605565,1,3,"pseudo",2
"hy",0.74954,1,2,"pseudo",2
"hus",0.597545,1,3,"pseudo",2
"shink",0.675645,0,5,"pseudo",2
"purchase",0.544335,1,8,"real",2
"guess",0.4351,1,5,"real",2
"go",0.552325,1,2,"real",2
"but",0.58433,1,3,"real",2
"piscil",0.567755,1,6,"pseudo",2
"sausage",0.984495,1,7,"real",2
"mot",0.901665,0,3,"pseudo",2
"blans",0.73263,1,5,"pseudo",2
"reeh",0.53255,1,4,"pseudo",2
"hktni",0.5949,1,5,"pseudo",2
"spring",0.467545,1,6,"real",2
"fror",0.44044,1,4,"pseudo",2
"his",0.638155,1,3,"real",2
"ujst",0.53943,1,4,"pseudo",2
"pledge",0.4606,0,6,"real",2
"up",0.498235,1,2,"real",2
"hube",0.56577,1,4,"pseudo",2
"inpant",0.611465,1,6,"pseudo",2
"take",0.69132,1,4,"real",2
"holily",0.622535,1,6,"pseudo",2
"shring",0.685525,1,6,"pseudo",2
"want",0.583455,1,4,"real",2
"duttery",0.585345,1,7,"pseudo",2
"custom",0.5036,1,6,"real",2
"soth",0.68482,1,4,"pseudo",2
"zembering",0.662175,1,9,"pseudo",2
"ud",0.59524,1,2,"pseudo",2
"pencil",0.59447,1,6,"real",2
"truck",0.533475,1,5,"real",2
"speveal",2.266425,1,7,"pseudo",3
"appropriates",1.249845,1,12,"real",3
"nop",1.060935,1,3,"pseudo",3
"arm",1.98621,1,3,"real",3
"ees",1.42194,1,3,"pseudo",3
"going",1.092295,1,5,"real",3
"arsher",1.86573,0,6,"pseudo",3
"acquisitiveness",1.1001,0,15,"real",3
"runey",2.016605,0,5,"pseudo",3
"stass",1.29567,1,5,"pseudo",3
"part",0.95257,1,4,"real",3
"time",0.76948,1,4,"real",3
"strange",1.33341,1,7,"real",3
"man",0.850425,1,3,"real",3
"money",0.80044,1,5,"real",3
"left",0.88322,1,4,"real",3
"kind",1.16481,1,4,"real",3
"bangs",1.172025,1,5,"real",3
"stop",0.715565,1,4,"real",3
"ways",0.80073,1,4,"real",3
"lant",3.13344,1,4,"pseudo",3
"leld",2.13273,1,4,"pseudo",3
"see",0.78403,1,3,"real",3
"napery",1.297155,0,6,"real",3
"wared",3.017025,1,5,"pseudo",3
"hitter",2.151715,0,6,"pseudo",3
"fattify",2.0232,1,7,"pseudo",3
"stamp",1.100085,1,5,"real",3
"stain",0.95031,1,5,"real",3
"river",1.06811,1,5,"real",3
"collapse",0.999515,1,8,"real",3
"stail",0.834525,0,5,"pseudo",3
"answer",1.133845,1,6,"real",3
"immiterise",1.250475,1,10,"pseudo",3
"contive",1.869195,0,7,"pseudo",3
"fistory",1.30071,1,7,"pseudo",3
"warpen",2.1178,1,6,"pseudo",3
"ggnoi",1.28449,1,5,"pseudo",3
"collosks",1.310495,0,8,"pseudo",3
"dooseful",1.750595,1,8,"pseudo",3
"impoverish",0.983075,0,10,"real",3
"land",0.84236,1,4,"real",3
"distance",1.18441,1,8,"real",3
"resolve",1.215575,1,7,"real",3
"strarms",1.38248,0,7,"pseudo",3
"ston",1.133365,1,4,"pseudo",3
"molk",1.64963,1,4,"pseudo",3
"me",1.11808,1,2,"real",3
"down",1.883945,1,4,"real",3
"seadrill",0.950315,1,8,"pseudo",3
"te",2.44968,1,2,"pseudo",3
"bawed",2.286315,1,5,"pseudo",3
"contain",0.895925,1,7,"real",3
"baafness",1.66591,0,8,"pseudo",3
"alk",3.317205,1,3,"pseudo",3
"find",0.717515,1,4,"real",3
"wndo",1.200945,1,4,"pseudo",3
"garden",1.233145,1,6,"real",3
"ase",4.18497,1,3,"pseudo",3
"rebosks",3.199115,1,7,"pseudo",3
"idthepiates",0.963725,1,11,"pseudo",3
"special",3.765,0,7,"real",3
"jewel",1.83329,1,5,"real",3
"pame",5.5021,1,4,"pseudo",3
"tice",5.37038,1,4,"pseudo",3
"cow",0.734725,1,3,"real",3
"roder",3.21263,0,5,"pseudo",3
"oenc",0.914995,1,4,"pseudo",3
"waves",2.53293,1,5,"real",3
"fatter",1.195215,1,6,"real",3
"plane",0.667105,1,5,"real",3
"imeyits",1.262025,1,7,"pseudo",3
"once",0.68387,1,4,"real",3
"ancrusinishness",1.352675,1,15,"pseudo",3
"hom",1.21463,1,3,"pseudo",3
"milk",0.800525,1,4,"real",3
"cok",0.90131,1,3,"pseudo",3
"swane",1.8522,1,5,"pseudo",3
"distides",1.531885,1,8,"pseudo",3
"han",2.799615,1,3,"pseudo",3
"doubtful",1.685265,0,8,"real",3
"testify",1.61905,1,7,"real",3
"fish",0.764805,1,4,"real",3
"kile",3.332585,1,4,"pseudo",3
"sun",0.866375,1,3,"real",3
"wass",1.05022,1,4,"pseudo",3
"fite",2.358285,1,4,"pseudo",3
"him",0.9977,1,3,"real",3
"nap",1.151715,0,3,"real",3
"de",3.339875,1,2,"pseudo",3
"mun",0.951165,1,3,"pseudo",3
"we",1.199545,1,2,"real",3
"library",2.88519,1,7,"real",3
"imagine",0.972565,1,7,"real",3
"and",0.709725,1,3,"real",3
"fimp",1.282195,1,4,"pseudo",3
"business",1.58362,1,8,"real",3
"seashell",2.163955,1,8,"real",3
"vosery",2.317295,1,6,"pseudo",3
"jixel",0.860215,1,5,"pseudo",3
"fasees",1.33143,0,6,"pseudo",3
"signal",0.9452,1,6,"real",3
"lost",0.934775,1,4,"real",3
"moon",3.150945,1,4,"real",3
"mpju",1.39985,1,4,"pseudo",3
"charring",2.82189,1,8,"real",3
"lame",3.082825,1,4,"real",3
"rescets",1.93229,0,7,"pseudo",3
"twew",1.21355,1,4,"pseudo",3
"air",0.866715,1,3,"real",3
"insows",1.21466,1,6,"pseudo",3
"live",1.051715,1,4,"real",3
"nurger",2.304615,1,6,"pseudo",3
"tha",1.039665,1,3,"pseudo",3
"knew",0.80853,1,4,"real",3
"wread",1.67984,0,5,"pseudo",3
"short",1.966955,1,5,"real",3
"inni",1.181025,1,4,"pseudo",3
"sheas",3.86602,1,5,"pseudo",3
"albust",1.917665,1,6,"pseudo",3
"jostile",2.39996,0,7,"pseudo",3
"garment",4.65107,0,7,"real",3
"vlei",1.16785,0,4,"pseudo",3
"morning",1.19786,1,7,"real",3
"cowbim",3.88493,0,6,"pseudo",3
"cag",1.31637,1,3,"pseudo",3
"ypla",0.967175,1,4,"pseudo",3
"must",0.799705,1,4,"real",3
"pumer",2.7845,0,5,"pseudo",3
"is",1.03352,1,2,"real",3
"cowboy",2.355895,1,6,"real",3
"accustomed",2.06681,1,10,"real",3
"totoseneian",2.030345,1,11,"pseudo",3
"fine",1.017365,1,4,"real",3
"garbant",1.532755,0,7,"pseudo",3
"red",0.763785,1,3,"real",3
"finally",0.817485,1,7,"real",3
"accastanct",2.265535,1,10,"pseudo",3
"natural",0.93229,1,7,"real",3
"tried",1.650475,1,5,"real",3
"jump",0.75033,1,4,"real",3
"then",0.767645,1,4,"real",3
"naw",2.10085,1,3,"pseudo",3
"almost",0.78597,1,6,"real",3
"clought",1.0834,1,7,"pseudo",3
"trood",5.150085,1,5,"pseudo",3
"famous",1.049705,1,6,"real",3
"recorse",3.35027,0,7,"pseudo",3
"potent",2.43227,0,6,"real",3
"no",0.8658,1,2,"real",3
"into",0.68235,1,4,"real",3
"lape",1.3926,1,4,"pseudo",3
"na",0.800965,1,2,"pseudo",3
"che",1.0059,1,3,"pseudo",3
"fing",2.544275,1,4,"pseudo",3
"car",0.683115,1,3,"real",3
"the",0.683495,1,3,"real",3
"open",0.900345,1,4,"real",3
"chanding",2.18461,1,8,"pseudo",3
"congusozation",2.86326,1,13,"pseudo",3
"sholt",1.685325,0,5,"pseudo",3
"sildal",1.383535,1,6,"pseudo",3
"loms",1.055085,1,4,"pseudo",3
"power",1.985195,1,5,"real",3
"inside",0.784335,1,6,"real",3
"vesural",2.315205,1,7,"pseudo",3
"knead",3.3191,1,5,"real",3
"justice",0.99991,1,7,"real",3
"reverse",1.25059,1,7,"real",3
"liffs",1.08509,1,5,"pseudo",3
"play",0.73304,1,4,"real",3
"could",0.748865,1,5,"real",3
"quen",2.14851,1,4,"pseudo",3
"moop",1.449975,1,4,"pseudo",3
"timelly",0.96826,0,7,"pseudo",3
"shoes",0.81741,1,5,"real",3
"of",1.86723,1,2,"real",3
"tascer",2.266305,1,6,"pseudo",3
"configuration",1.399435,1,13,"real",3
"brush",0.833075,1,5,"real",3
"os",2.25012,1,2,"pseudo",3
"father",0.761375,1,6,"real",3
"hust",0.872195,0,4,"pseudo",3
"repress",1.587,0,7,"real",3
"ot",0.84976,1,2,"pseudo",3
"strong",1.834415,1,6,"real",3
"she",1.23004,1,3,"real",3
"sould",0.69801,0,5,"pseudo",3
"molent",1.851225,0,6,"pseudo",3
"oban",0.90061,1,4,"pseudo",3
"strosh",2.802285,1,6,"pseudo",3
"brubs",2.000725,1,5,"pseudo",3
"number",1.536995,0,6,"real",3
"homogeneous",1.38321,1,11,"real",3
"med",3.13454,0,3,"pseudo",3
"arf",1.51515,1,3,"pseudo",3
"light",1.832575,1,5,"real",3
"serning",3.152375,0,7,"pseudo",3
"new",1.097405,1,3,"real",3
"brought",1.772405,1,7,"real",3
"pretty",1.893255,1,6,"real",3
"yos",0.934575,1,3,"pseudo",3
"invectiress",1.93837,1,11,"pseudo",3
"utashing",1.813195,0,8,"pseudo",3
"qualify",0.9287,1,7,"real",3
