"","words","a","b","g","u"
"1","plays",1.23904084328552,-2.5163110248816,0.5,1
"2","we",1.29084855359225,-2.44322772073801,0.5,1
"3","them",1.02408451553245,-2.34115063914291,0.5,1
"4","play",2.43824102004052,-2.24453508067965,0.5,1
"5","hu",1.83901769736033,-2.1820939715169,0.5,1
"6","from",1.14550118185816,-2.1820087715892,0.5,1
"7","more",1.23622405969414,-2.1491074654419,0.5,1
"8","him",1.7873575726261,-2.10338966044445,0.5,1
"9","look",1.43935078228414,-2.09380358408958,0.5,1
"10","plane",1.36036609435112,-2.08974798853198,0.5,1
"11","hot",1.08145553163328,-2.05859111490832,0.5,1
"12","open",1.77050074780492,-2.00892133056303,0.5,1
"13","moon",1.74438464003011,-1.99247304301196,0.5,1
"14","people",1.89046467211807,-1.98291264169882,0.5,1
"15","miss",1.75407411672986,-1.96611779313014,0.5,1
"16","uoy",1.78624376905433,-1.9480679828115,0.5,1
"17","natural",1.13671491724815,-1.94320770761514,0.5,1
"18","spu",1.29726040829285,-1.93545356529859,0.5,1
"19","om",1.60578626619372,-1.91915564147853,0.5,1
"20","os",1.78390158156844,-1.90862386062733,0.5,1
"21","orn",1.31550671408649,-1.8907578291101,0.5,1
"22","alk",0.9197997192325,-1.84221226671832,0.5,1
"23","khtna",2.03135220301739,-1.8205444822979,0.5,1
"24","ap",2.30573376955548,-1.80141592878825,0.5,1
"25","rebosks",0.981186301300543,-1.79730916756528,0.5,1
"26","back",1.29847974927034,-1.79693414589551,0.5,1
"27","however",1.22508267253326,-1.79064636041458,0.5,1
"28","fror",2.01244315702295,-1.78996928279942,0.5,1
"29","waay",1.05214415001552,-1.78737199854636,0.5,1
"30","inni",1.58008239124429,-1.78461229726338,0.5,1
"31","animal",1.12705460358645,-1.78236405011476,0.5,1
"32","sun",1.54870446132019,-1.76350389030539,0.5,1
"33","time",2.62007201007954,-1.75416109124998,0.5,1
"34","become",1.89957936295209,-1.7385789895839,0.5,1
"35","into",1.06287946197251,-1.73611339774953,0.5,1
"36","morning",1.63566811646482,-1.69325412290506,0.5,1
"37","black",2.6395597591721,-1.68474269924108,0.5,1
"38","cag",1.0333133596929,-1.67869328634669,0.5,1
