"","words","a","b","g","u"
"139","describe",1,-0.953302967112067,0.5,1
"140","brubs",1,-0.925961596783398,0.5,1
"141","besime",1,-0.922601132544039,0.5,1
"142","hus",1,-0.912113540562024,0.5,1
"143","cowbim",1,-0.911301431703692,0.5,1
"144","idthepiates",1,-0.878351697665372,0.5,1
"145","famous",1,-0.875854478768198,0.5,1
"146","alipol",1,-0.859606741821089,0.5,1
"147","thantboard",1,-0.855929976542827,0.5,1
"148","hect",1,-0.814813958484378,0.5,1
"149","sildal",1,-0.790737524513624,0.5,1
"150","nied",1,-0.778484783665572,0.5,1
"151","compliment",1,-0.76545722619633,0.5,1
"152","cotosks",1,-0.70604373988905,0.5,1
"153","pencil",1,-0.688298166673172,0.5,1
"154","purchase",1,-0.679186260985381,0.5,1
"155","lant",1,-0.674864297951265,0.5,1
"156","hom",1,-0.665913977641834,0.5,1
"157","crovel",1,-0.665119290915085,0.5,1
"158","short",1,-0.663621760137502,0.5,1
"159","leald",1,-0.656205555280821,0.5,1
"160","nop",1,-0.6527874288736,0.5,1
"161","scays",1,-0.639074785159698,0.5,1
"162","flankfopper",1,-0.635782988930168,0.5,1
"163","grat",1,-0.635346461420815,0.5,1
"164","fireer",1,-0.625513733288006,0.5,1
"165","went",1,-0.6200771250938,0.5,1
"166","ston",1,-0.614374671928289,0.5,1
"167","holily",1,-0.608474272361894,0.5,1
"168","etecants",1,-0.596912081535169,0.5,1
"169","grasshopper",1,-0.591287738341799,0.5,1
"170","ther",1,-0.535271503106729,0.5,1
"171","bledge",1,-0.517893942600473,0.5,1
"172","cotplicant",1,-0.514718959178768,0.5,1
"173","cas",1,-0.493272750056551,0.5,1
"174","custom",1,-0.482886313454394,0.5,1
"175","shine",1,-0.480091783354913,0.5,1
"176","blans",1,-0.478413719862107,0.5,1
"177","contain",1,-0.457986930587019,0.5,1
"178","drustion",1,-0.439608769310026,0.5,1
"179","toy",1,-0.439218929060297,0.5,1
"180","bangs",1,-0.411898809130762,0.5,1
"181","germantia",1,-0.393724617459927,0.5,1
"182","hane",1,-0.333930981164983,0.5,1
"183","crit",1,-0.327793711066696,0.5,1
"184","liberty",1,-0.326856664178862,0.5,1
"185","ase",1,-0.326825259175729,0.5,1
"186","gravel",1,-0.324981277112048,0.5,1
"187","albust",1,-0.296051871965908,0.5,1
"188","baafness",1,-0.289956548644722,0.5,1
"189","distance",1,-0.287493682391088,0.5,1
"190","sint",1,-0.275538880935048,0.5,1
"191","speveal",1,-0.273783891615334,0.5,1
"192","budget",1,-0.261855374959356,0.5,1
"193","sudsage",1,-0.258629130597797,0.5,1
"194","collosks",1,-0.206412778220968,0.5,1
"195","fimp",1,-0.205766987896666,0.5,1
"196","goud",1,-0.204967152713363,0.5,1
"197","tice",1,-0.194414209253103,0.5,1
"198","arsher",1,-0.186619996155629,0.5,1
"199","bove",1,-0.182983158620531,0.5,1
"200","slace",1,-0.137440690555573,0.5,1
"201","warpen",1,-0.126540001280891,0.5,1
"202","tate",1,-0.118278978206916,0.5,1
"203","bere",1,-0.115940934563614,0.5,1
"204","strosh",1,-0.0949331124170239,0.5,1
"205","hube",1,-0.0703756714333495,0.5,1
"206","elements",1,-0.0578911323453074,0.5,1
"207","mout",1,-0.0507502454100532,0.5,1
"208","woft",1,-0.0441436641239626,0.5,1
"209","molent",1,-0.0408853444114996,0.5,1
"210","mich",1,-0.0170611312196119,0.5,1
"211","bulbet",1,-0.0151485136983571,0.5,1
"212","loak",1,-0.00462030936484187,0.5,1
"213","jewel",1,0.00782819453042649,0.5,1
"214","inpant",1,0.0210753144771996,0.5,1
"215","wawed",1,0.0228680598113185,0.5,1
"216","pame",1,0.0484073013456051,0.5,1
"217","charks",1,0.0559766969580871,0.5,1
"218","ancrusinishness",1,0.0686058659125153,0.5,1
"219","leld",1,0.0810275194274741,0.5,1
"220","runey",1,0.0857859594284219,0.5,1
"221","shring",1,0.103820530213978,0.5,1
"222","wase",1,0.11242633942661,0.5,1
"223","banny",1,0.140982914841436,0.5,1
"224","han",1,0.148576095406976,0.5,1
"225","resolve",1,0.15677288305501,0.5,1
"226","telechinct",1,0.157266907971676,0.5,1
"227","ablood",1,0.175251668402109,0.5,1
"228","naw",1,0.215163440155942,0.5,1
"229","trull",1,0.216281336013212,0.5,1
"230","hadder",1,0.224733340377126,0.5,1
"231","investigate",1,0.247045952362224,0.5,1
"232","an",1,0.251884162005939,0.5,1
"233","gaian",1,0.253584024184314,0.5,1
"234","vesural",1,0.254421005885308,0.5,1
"235","spoll",1,0.270525563934278,0.5,1
"236","distides",1,0.277157336018809,0.5,1
"237","hant",1,0.278338440893206,0.5,1
"238","fite",1,0.297666149295184,0.5,1
"239","fattify",1,0.338425958619268,0.5,1
"240","liffs",1,0.343321843942421,0.5,1
"241","mannanency",1,0.344582771262446,0.5,1
"242","groon",1,0.396290586526823,0.5,1
"243","freat",1,0.427263698165666,0.5,1
"244","coth",1,0.55585578693474,0.5,1
"245","fistory",1,0.574483447173714,0.5,1
"246","sids",1,0.59235770052195,0.5,1
"247","pealt",1,0.632099307156383,0.5,1
"248","trood",1,0.637140136843001,0.5,1
"249","roder",1,0.66076592083575,0.5,1
"250","doubtful",1,0.664255349673534,0.5,1
"251","garbant",1,0.668396721506822,0.5,1
"252","moop",1,0.70404663115339,0.5,1
"253","strarms",1,0.824592803137227,0.5,1
"254","purshare",1,0.838003614480701,0.5,1
"255","lape",1,0.86616971416256,0.5,1
"256","beller",1,0.887691946654083,0.5,1
"257","wread",1,0.907418271084129,0.5,1
"258","invent",1,0.913525306256224,0.5,1
"259","creat",1,0.987481902349351,0.5,1
"260","rescets",1,0.995607585001869,0.5,1
"261","overtruan",1,0.99766067107641,0.5,1
"262","immiterise",1,1.02640887261418,0.5,1
"263","contive",1,1.07943521455183,0.5,1
"264","mistive",1,1.0862115694131,0.5,1
"265","soth",1,1.11206189897681,0.5,1
"266","configuration",1,1.14786156529416,0.5,1
"267","pledge",1,1.1650653213702,0.5,1
"268","dryer",1,1.17722891586028,0.5,1
"269","qualify",1,1.22886613962259,0.5,1
"270","circus",1,1.24371368025481,0.5,1
"271","serning",1,1.24941564593134,0.5,1
"272","testify",1,1.25905390692418,0.5,1
"273","swane",1,1.28971018968586,0.5,1
"274","whose",1,1.30107948879883,0.5,1
"275","guarantee",1,1.34544416388704,0.5,1
"276","wared",1,1.36853690703827,0.5,1
"277","med",1,1.42147538584624,0.5,1
"278","fave",1,1.44097778802664,0.5,1
"279","overwhelm",1,1.45369427849478,0.5,1
"280","sain",1,1.51436160816847,0.5,1
"281","fing",1,1.67781178778601,0.5,1
"282","snose",1,1.6790064691436,0.5,1
"283","hust",1,1.73809211253172,0.5,1
"284","fatter",1,1.82681849274619,0.5,1
"285","garment",1,1.83067552247598,0.5,1
"286","complase",1,1.98685400681982,0.5,1
"287","streat",1,2.29756780350374,0.5,1
"288","chanding",1,2.42239655742776,0.5,1
"289","shink",1,2.48220290298827,0.5,1
"290","accustomed",1,2.51292340631938,0.5,1
"291","mader",1,2.52364219222644,0.5,1
"292","rackle",1,2.68779550468963,0.5,1
"293","appropriates",1,2.7763201779494,0.5,1
"294","potent",1,3.08223480713699,0.5,1
"295","bads",1,3.85752784599142,0.5,1
"296","recorse",1,4.02372151564508,0.5,1
"297","seadrill",1,4.05234257277205,0.5,1
"298","telescoped",1,4.37186270882323,0.5,1
"299","bot",1,5.12525923517622,0.5,1
