"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"172",172,"cotplicant",1,-0.518060968498282,0.5,1,"cotplicant",10,NA,0,0,1912.85,685.9,491.36,110.89,24.12,10,256332.17,32975.2,21380.13,3253.67,1689.49,401.38
"173",173,"congusozation",1,-0.508883313950134,0.5,1,"congusozation",13,NA,0,0,434.93,226,229.47,102.75,145.96,61.55,246721.38,32077.08,23254.33,4164.08,3992.41,934.64
"174",174,"cas",1,-0.496346373263511,0.5,1,"cas",3,NA,13,1193.42,18174.49,67,7755.46,6,0,0,254048.8,38460.67,24075.6,2976.5,1104.78,194
"175",175,"custom",1,-0.483444899086928,0.5,1,"custom",6,16.063,0,0,4454.2,460.83,421.17,54.4,56.99,7.5,219384.1,29710,22306.83,2896.6,1743.81,268.75
"176",176,"shine",1,-0.482229989863495,0.5,1,"shine",5,7.91254,11,5.28,15154.71,435.4,3375.13,62,514.57,13,324372.31,42804.2,36508.85,5366.5,3787.17,748.67
"177",177,"blans",1,-0.479772445105629,0.5,1,"blans",5,NA,7,15.94,9209.14,611.6,1156.11,69.25,350.69,14,233713.66,34317,24610.88,3688,1458.6,436.67
"178",178,"contain",1,-0.460263215039013,0.5,1,"contain",7,35.4577,0,0,5787.98,818,1218.12,122.5,555.33,26,298942.34,37459.43,34253.83,5505.67,3527,586.6
"179",179,"toy",1,-0.442637158314331,0.5,1,"toy",3,13.8618,16,122.2,33128.99,70.67,858.18,8,13.86,1,265020.97,26866.67,20211.59,1240,32.19,4
"180",180,"drustion",1,-0.441288924320363,0.5,1,"drustion",8,NA,0,0,3897,914,908.31,150,466.24,42.67,262300.39,36088.25,21925.44,4278.14,5719.34,1183.67
"181",181,"bangs",1,-0.413931281538661,0.5,1,"bangs",5,2.4987,9,8.04,6852.65,639.2,474.75,61.75,102.94,14.33,216508.46,31786,27024.65,3922.75,1528.57,338.33
"182",182,"germantia",1,-0.396926990858083,0.5,1,"germantia",9,NA,0,0,2075.05,655.67,283.68,77.38,47.77,11.29,299868,38171.11,28661.4,4640.5,2325.09,503.86
"183",183,"hane",1,-0.334517651495678,0.5,1,"hane",4,NA,20,260.43,21141.67,299,3548.31,41.33,304.48,6.5,358622.27,39161,41918.76,3968,2443.34,308
"184",184,"crit",1,-0.329907404518575,0.5,1,"crit",4,NA,5,1.81,12177.44,171,189.35,18,4.13,2,264288.4,37150,20959.32,3403.33,1682.34,327
"185",185,"liberty",1,-0.329282796381185,0.5,1,"liberty",7,18.0263,0,0,3932.36,570,551.92,58.67,96.13,6.8,253984.57,34064.71,20879,3440,986.9,197.6
"186",186,"ase",1,-0.329190746783239,0.5,1,"ase",3,NA,15,354.05,38599.73,38,366,2.5,0,0,388931.11,52075.67,30260.23,3035.5,1555.85,200
"187",187,"gravel",1,-0.32779293956261,0.5,1,"gravel",6,11.0062,5,14.35,6431.76,749.33,587.28,87.8,133.12,19.75,240191.88,32732,15259.16,2579.4,2408.28,353.75
"188",188,"albust",1,-0.298236587718629,0.5,1,"albust",6,NA,0,0,4243.39,325.17,538.43,35.6,30.83,3,231990.59,31566.33,17769.58,3019.6,1054.82,132.5
"189",189,"baafness",1,-0.291995811492532,0.5,1,"baafness",8,NA,0,0,3345.72,1250.75,436.77,170.29,224.82,60.83,282519.56,38291.38,11316.21,3067.43,1392.78,677.17
"190",190,"distance",1,-0.289734610293965,0.5,1,"distance",8,87.9898,0,0,3404.74,753.38,756.71,127,404.69,38.5,304272.25,40692.5,26882.02,4006.57,3944.38,846.17
"191",191,"sint",1,-0.275642229682514,0.5,1,"sint",4,NA,13,20.08,18047.63,257,1878.5,35.67,50.12,5,312014.86,44093,41456.55,6757.67,4099.56,678.5
"192",192,"speveal",1,-0.273750845589011,0.5,1,"speveal",7,NA,0,0,4237.28,628.71,602.71,62.17,78.82,4.8,282546.74,38701.57,19048.29,2585.67,2428.6,169.6
"193",193,"budget",1,-0.263410530957988,0.5,1,"budget",6,32.0071,2,0.3,7216.6,790.5,587.98,87,92.87,15.25,224684.89,28107.67,7461.94,1242.8,797.9,98.5
"194",194,"sudsage",1,-0.258988003161548,0.5,1,"sudsage",7,NA,0,0,4767.65,730.57,456.99,60.17,139.75,14.6,256978.77,37636.14,7160.68,1256,708.38,118
"195",195,"collosks",1,-0.217066941229415,0.5,1,"collosks",8,NA,0,0,3321.23,1028.25,491.42,120.86,88.41,16.33,207695.02,31845.75,11249.16,2053.71,846.45,164.33
"196",196,"goud",1,-0.205053722716034,0.5,1,"goud",4,NA,6,172.42,11164.6,209.5,1274.75,17.67,19.84,1,172864.31,22417,16424.72,1486,146.5,42
"197",197,"fimp",1,-0.204905812529056,0.5,1,"fimp",4,NA,2,6.54,10714.53,158.5,1187.85,19,6.54,1,145388.93,21807.5,8538.26,1441.67,938.59,212.5
"198",198,"tice",1,-0.198042955387395,0.5,1,"tice",4,NA,13,152.6,24574.73,236,1303.63,18.67,89.03,4,333884.97,43178.75,22620.65,4796.33,2987.79,621.5
"199",199,"arsher",1,-0.188146985810014,0.5,1,"arsher",6,NA,1,5.24,8103.53,803.83,2017.71,170,522.36,23,316216.26,41223.67,48431.69,4881.6,6159.18,379.5
"200",200,"bove",1,-0.184006963149091,0.5,1,"bove",4,NA,12,51.15,18981.12,262.25,2946.93,23.33,278.1,4,237961.88,28253.75,14197.93,1734.67,2709.33,341
"201",201,"slace",1,-0.13909095196053,0.5,1,"slace",5,NA,8,89.28,11040.22,444.4,1512.16,52.5,587.41,10,290694.41,41640.8,12109.69,2342,1448.11,233.67
"202",202,"warpen",1,-0.129339564561774,0.5,1,"warpen",6,NA,3,4.4,8652.25,895.67,892.89,106.2,67.03,8,267263.48,34128.67,22648.82,3034.2,1054.15,187.25
"203",203,"tate",1,-0.121423162166381,0.5,1,"tate",4,NA,17,79.59,27418.64,283.5,987.62,28.67,281.64,5.5,421860.85,45450.25,31178.5,5997.33,4760.82,1529
"204",204,"bere",1,-0.114956550551931,0.5,1,"bere",4,NA,9,495.05,20372.77,269,5765.01,33.33,2193.55,3,337943.95,44225.25,48056.76,6563.67,7240.38,583
"205",205,"strosh",1,-0.0996740059918246,0.5,1,"strosh",6,NA,0,0,5578.71,450,942.02,62,327.69,11.75,288395.4,37505,18083.6,3394,1634.01,401
"206",206,"hube",1,-0.071339160481176,0.5,1,"hube",4,NA,4,32.65,13405.96,201.25,124.5,13.33,9.79,1.5,237549.75,26236.5,8683.64,870.67,34.98,32
"207",207,"elements",1,-0.0599009792248325,0.5,1,"elements",8,46.4044,1,0.59,3513.63,975.75,610.75,114.43,217.46,25,347406.33,45312.25,23778.85,3723.43,4755.36,777.33
"208",208,"mout",1,-0.0509077249506645,0.5,1,"mout",4,NA,9,134.22,17008.31,236.25,2107.27,22.67,5.41,3,233984.64,26190.25,23287.88,2134.67,3960.64,346
"209",209,"woft",1,-0.0491524726666755,0.5,1,"woft",4,NA,6,14.55,19894.93,221.5,701.84,14,41.91,1,225617.16,21085,15330.5,401.33,309.87,23.5
"210",210,"molent",1,-0.0424311996476087,0.5,1,"molent",6,NA,2,157.98,6822.49,602.83,1036.83,64.6,243.58,11.75,299346.24,36332,24570.88,3982.2,4251.87,678
"211",211,"bulbet",1,-0.0195781140604395,0.5,1,"bulbet",6,NA,1,13.39,7373.92,805.33,480.38,64.4,4.63,2.25,222337.68,28452.17,11011.55,1374.6,384.28,65.25
"212",212,"mich",1,-0.0180089353403209,0.5,1,"mich",4,NA,6,210.52,13124.47,154.5,1442.88,19.67,69.19,2,192372.19,24540.5,15118.22,2903,2145.19,113.5
"213",213,"loak",1,-0.00674250146213566,0.5,1,"loak",4,NA,8,80.55,15878.55,250.25,1028.93,24.67,28.94,2.5,226520.54,27405,6496.07,1228.67,130.14,55
"214",214,"jewel",1,0.00695898382518386,0.5,1,"jewel",5,2.85565,1,0.3,6787.13,363.4,333.99,27.25,26.24,5.67,262082.72,32460.8,9211.55,1089.75,601.57,66.33
"215",215,"inpant",1,0.0143239556089595,0.5,1,"inpant",6,NA,1,21.42,4155.32,374.67,491.95,47.6,16.93,5.25,288567.91,37083.67,36507.89,5045.2,1240.11,313.75
"216",216,"wawed",1,0.019688943008936,0.5,1,"wawed",5,NA,12,3.2,10962.93,475.4,1117.2,89,10.65,8,250823.84,27283.4,19200.46,2379.25,261.23,49.67
"217",217,"pame",1,0.0479328590017692,0.5,1,"pame",4,NA,15,131.03,18847.64,281.75,3451.49,28.67,901.88,4,271090.5,34082.5,14851.55,2062.33,1667.94,149
"218",218,"charks",1,0.0561365057939378,0.5,1,"charks",6,NA,5,3.17,5243.33,695,693.95,74,199.78,13,213481.18,28702.5,18843.73,2102.8,1376.5,282.25
"219",219,"ancrusinishness",1,0.0630678497450917,0.5,1,"ancrusinishness",15,NA,0,0,40.85,61.67,5.15,18.43,2.29,10.85,276741.93,41010.2,23084.57,4148.93,1645.25,561.77
"220",220,"leld",1,0.080083018893724,0.5,1,"leld",4,NA,8,45.84,14172.67,207.25,1899.82,23.67,113.33,2.5,256944.49,35838,18580.94,2937.67,339.5,63
"221",221,"runey",1,0.0834211057607722,0.5,1,"runey",5,NA,2,0.45,6883.19,489.6,435.96,38.25,140.82,4.33,249711.55,33854,11670.14,2093.75,520.96,95.67
"222",222,"shring",1,0.101420821456937,0.5,1,"shring",6,NA,6,17.87,7693.92,636.33,2352.99,171.4,1129.71,79,237914.8,34433.17,30537.32,5767.2,8419.55,2061.25
"223",223,"wase",1,0.110299634589296,0.5,1,"wase",4,NA,15,44.32,24775.83,279,1648.98,31.33,261.38,3.5,314778.32,40291.5,26820.91,2370.33,6435.37,142
"224",224,"banny",1,0.1397512655789,0.5,1,"banny",5,NA,8,5.77,6858.8,466.8,468.16,52.5,94.73,11,220253.74,27864.6,18991.15,1988.5,642.14,158
"225",225,"han",1,0.146419073261604,0.5,1,"han",3,NA,20,593.66,19692.36,77.33,5933.15,9,0,0,304400.97,31056.67,51343.36,3799,4269.5,392
