"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"281",281,"sain",1,1.51394755746355,0.5,1,"sain",4,NA,14,240.56,16616.33,252,3077.36,29.67,1630.76,5,309412.84,45008.25,33901.84,5212.33,4173.3,286
"282",282,"snose",1,1.67457854336093,0.5,1,"snose",5,NA,1,1.01,10424.9,386.8,1560.39,35.25,475.74,7,331716.8,47483.2,13584.68,1736.5,1074.3,160.33
"283",283,"fing",1,1.67514761783374,0.5,1,"fing",4,NA,14,60.56,11033.63,181,1753.81,37,423.68,6.5,192747.98,27960,41485.96,7433.67,15837.21,3630.5
"284",284,"hust",1,1.73685020367134,0.5,1,"hust",4,NA,15,155.65,13968.5,195,2955.24,31,1116,5,254631.15,29992.5,17372.42,3233.33,2030.25,216
"285",285,"fatter",1,1.82470383621064,0.5,1,"fatter",6,1.42783,15,48.36,9981.49,977.5,3124.13,230.4,840.35,48.25,337529.6,38171.17,31246.66,5577.8,3893.99,798.25
"286",286,"garment",1,1.83170477140682,0.5,1,"garment",7,10.5302,0,0,6722.77,989,866.68,118.17,276.03,23.4,287372.25,36181,23875.99,3402.33,4684.02,739.2
"287",287,"complase",1,1.98917982319906,0.5,1,"complase",8,NA,0,0,3432.2,878.5,611.04,116.14,178.95,21.67,244736.69,34061.12,18505.67,2600,2563.49,358.5
"288",288,"streat",1,2.29624679600507,0.5,1,"streat",6,NA,3,102.05,6344.83,573.67,954.82,61.8,386.76,14.5,365678.36,45338.33,34781.4,5342.2,4178.67,575.25
"289",289,"chanding",1,2.42468757825293,0.5,1,"chanding",8,NA,3,19.93,4610.28,1165,1971.73,463.57,1075.8,239.5,234051.58,30119.25,42177.89,5315.71,12308.29,1622.17
"290",290,"shink",1,2.48782585603219,0.5,1,"shink",5,NA,9,92.39,11744.96,352.8,3509.25,61.5,812.27,11.67,226342.35,31124.8,31381.22,4427.25,2966.13,410.67
"291",291,"accustomed",1,2.51818491239098,0.5,1,"accustomed",10,21.0604,0,0,1512.29,573,392.66,120.33,75.38,13.38,250242.32,32742.8,21576.28,3031.11,2163.25,248.75
"292",292,"mader",1,2.52466686797817,0.5,1,"mader",5,NA,3,1.75,9220.79,478.6,2477.43,86,349.48,9.33,283019.68,36128.8,29616.11,4896.5,2471.66,451.67
"293",293,"rackle",1,2.67631362531493,0.5,1,"rackle",6,NA,4,7.79,7394.81,618.33,1203.04,101,89.14,15.25,243963.59,33628.33,12789.18,3002.2,1264.58,329.5
"294",294,"appropriates",1,2.78083040009305,0.5,1,"appropriates",12,0.118986,1,2.38,508.98,399.58,106.19,100.55,34.39,33.4,274236.91,37119.42,18402.13,4137.18,2288.93,641.8
"295",295,"potent",1,3.09275616569806,0.5,1,"potent",6,6.84167,1,4.28,7660.78,624.5,935.3,65.8,273.24,14.75,332347.26,38057.83,26574.68,4347.4,4918.3,769.5
"296",296,"bads",1,3.86203315333126,0.5,1,"bads",4,NA,19,6.54,12676.31,310.25,1146.32,29.67,12.08,4,219555.87,31132.25,8560.51,1366.33,273.16,73.5
"297",297,"recorse",1,4.03644718698263,0.5,1,"recorse",7,NA,1,4.46,5869.39,686.57,1137.67,96.17,88.95,12.4,318837.76,44639.57,28366.03,4060.67,1650.06,370.2
"298",298,"seadrill",1,4.05302595060784,0.5,1,"seadrill",8,NA,0,0,4612.76,1135.25,440.99,121.86,18.99,15,277701.38,40481.75,18383.4,2770,1741.18,229.33
"299",299,"telescoped",1,4.39147931634625,0.5,1,"telescoped",10,0.297464,1,1.73,1868.34,710.6,356.96,121.67,42.17,12.62,307456.77,40221.2,22309.29,4972.89,1369.28,393.25
"300",300,"bot",1,5.11815927151842,0.5,1,"bot",3,NA,25,483.9,17755.69,78.33,3312.17,10.5,0,0,260539.31,27376,11683.01,1480,923.86,58
